genotype,fitness
0,1.9787228
1,3.3777635999999998
2,2.5758542
3,3.1038390000000002
4,2.8695719000000004
5,3.2518279
6,3.1296
7,3.4502550000000003
8,3.8367050000000003
9,2.4882002
10,3.706996
11,3.811435
12,2.69658
13,2.622184
14,2.7971030000000003
15,3.822172
16,3.2066730000000003
17,3.5525541
18,3.32075
19,4.780002
20,3.3433330000000003
21,3.4948300000000003
22,3.46314
23,3.22178
24,2.609311
25,2.798668
26,2.779208
27,3.2549010000000003
28,3.1760319999999997
29,2.6171808999999997
30,2.885746
31,1.9729711999999997
32,2.7184395
33,3.5145618
34,2.5174436
35,3.1601353999999997
36,2.9937075
37,2.7721408000000003
38,2.4672219999999996
39,3.631559
40,3.7330995
41,1.6178272
42,2.88316493
43,3.04725293
44,2.0957825
45,2.605477
46,3.436549
47,3.7087980000000003
48,2.7690164
49,2.7649781
50,2.0864333999999998
51,4.0046550000000005
52,3.59604
53,2.343781
54,3.2557967999999993
55,3.5068170000000003
56,4.337406
57,2.4300080000000004
58,2.826272
59,2.373961
60,2.8556193999999997
61,3.222149
62,2.8264784
63,2.2018763
