"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1"
"1",NA,0,1.4641,0,1.4641,1.4641,100,1.210002,0,0.5,1
"2",NA,1,1.4641,0,1.4641,1.4641,100,1.099998,0.166666666666667,0.142857142857143,1
"3",NA,2,1.4641,0,1.4641,1.4641,100,1.099998,0.166666666666667,0.285714285714286,1
"4",NA,3,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.0625,1
"5",NA,4,1.4641,0,1.4641,1.4641,100,1.099998,0.166666666666667,0.428571428571429,1
"6",NA,5,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.125,1
"7",NA,6,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.1875,1
"8",NA,7,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.0476190476190476,1
"9",NA,8,1.4641,0,1.4641,1.4641,100,1.099998,0.166666666666667,0.571428571428571,1
"10",NA,9,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.25,1
"11",NA,10,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.3125,1
"12",NA,11,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.0952380952380952,1
"13",NA,12,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.375,1
"14",NA,13,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.142857142857143,1
"15",NA,14,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.19047619047619,1
"16",NA,15,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.0625,1
"17",NA,16,1.4641,0,1.4641,1.4641,100,1.099998,0.166666666666667,0.714285714285714,1
"18",NA,17,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.4375,1
"19",NA,18,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.5,1
"20",NA,19,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.238095238095238,1
"21",NA,20,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.5625,1
"22",NA,21,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.285714285714286,1
"23",NA,22,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.333333333333333,1
"24",NA,23,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.125,1
"25",NA,24,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.625,1
"26",NA,25,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.380952380952381,1
"27",NA,26,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.428571428571429,1
"28",NA,27,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.1875,1
"29",NA,28,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.476190476190476,1
"30",NA,29,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.25,1
"31",NA,30,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.3125,1
"32",NA,31,1.4641,0,1.4641,1.4641,100,1.330998,0.833333333333333,0.142857142857143,1
"33",NA,32,1.4641,0,1.4641,1.4641,100,1.099998,0.166666666666667,0.857142857142857,1
"34",NA,33,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.6875,1
"35",NA,34,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.75,1
"36",NA,35,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.523809523809524,1
"37",NA,36,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.8125,1
"38",NA,37,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.571428571428571,1
"39",NA,38,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.619047619047619,1
"40",NA,39,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.375,1
"41",NA,40,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.875,1
"42",NA,41,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.666666666666667,1
"43",NA,42,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.714285714285714,1
