genotype,fitness
0,2.7891520000000005
1,2.388162
2,2.6596889999999997
3,2.4645452
4,2.2797828
5,2.913491
6,2.3129239999999998
7,2.467191
8,2.0250507
9,3.456155
10,4.434412
11,2.9935050999999997
12,2.2094112000000004
13,2.935644
14,2.123283
15,3.48932605
16,2.5906819
17,2.9926850000000003
18,3.0877679999999996
19,3.804447
20,2.15735146
21,4.0520439999999995
22,1.9754665999999999
23,2.0309852999999998
24,4.321003999999999
25,3.2117463
26,2.960061
27,2.824067
28,4.298447
29,4.081506
30,3.1556067
31,2.9059122
32,1.3915023
33,2.2362147
34,2.8372159999999997
35,3.1470725
36,2.372741
37,2.514545
38,2.0971770000000003
39,2.993909
40,2.977017
41,2.1605051
42,2.6097434
43,3.1194729
44,2.8580005
45,3.4752369999999995
46,2.5493509
47,3.019962
48,3.567335
49,3.250026
50,4.252084
51,2.9912663
52,4.533143
53,3.647854
54,4.201574
55,3.482349
56,2.2269217999999995
57,3.2961767999999996
58,4.752982
59,3.4406882999999997
60,3.4057393000000005
61,2.5255639999999997
62,3.864973
63,3.3744004000000003
