genotype,fitness
0,4.631225
1,3.022134
2,3.5853474000000003
3,3.901069
4,2.49315415
5,1.43155466
6,3.1230640000000003
7,2.292719
8,3.2976191999999998
9,2.885173
10,3.800952400000001
11,3.681173
12,2.8803438999999997
13,2.6460879000000004
14,3.3980389
15,2.3147552
16,3.274748
17,3.2559929999999997
18,1.8292853999999998
19,4.0427800000000005
20,2.0076954899999997
21,2.536432
22,1.8678849999999998
23,2.935313
24,2.8027067999999997
25,2.8120046
26,1.7484289999999998
27,2.3578306
28,3.107335
29,3.294823
30,2.858555
31,2.5044523
32,3.7291479999999995
33,2.968727
34,2.9517119999999997
35,4.378603
36,1.8555121499999998
37,2.9195556600000003
38,2.858385
39,2.7223640000000002
40,2.8756011999999993
41,2.5897002
42,3.647376
43,3.9166412
44,1.8349079
45,3.0041701
46,2.7255659
47,1.6144814
48,2.9681509999999998
49,1.919255
50,2.919865
51,3.0002410000000004
52,2.0470354900000003
53,2.822604
54,3.4089229999999997
55,1.9263870000000003
56,3.1000962000000003
57,2.810738
58,3.442995
59,2.650763
60,2.523701
61,3.689506
62,3.776619
63,1.6040372999999999
