genotype,fitness
0,5.77049
1,6.04891
2,6.35608
3,5.60459
4,4.95473
5,5.7664
6,5.65161
7,5.79997
8,5.3152
9,6.37895
10,6.0771
11,5.14001
12,5.9329
13,6.39348
14,6.68199
15,5.78406
16,4.56688
17,4.84531
18,4.40769
19,3.65621
20,4.0526
21,4.86428
22,4.48082
23,4.62918
24,5.38908
25,6.45283
26,5.91656
27,4.97947
28,5.02904
29,5.48962
30,5.09003
31,4.1921
32,4.71696
33,4.99539
34,5.30255
35,4.55107
36,4.46604
37,5.27772
38,5.16293
39,5.31129
40,5.08179
41,6.14554
42,5.84369
43,4.9066
44,6.0043
45,6.46488
46,6.75339
47,5.85546
48,5.35955
49,5.63798
50,5.20036
51,4.44888
52,4.7575
53,5.56918
54,5.18572
55,5.33407
56,5.02075
57,6.08449
58,5.54823
59,4.61114
60,5.62439
61,6.08497
62,5.68537
63,4.78744
64,4.53338
65,4.81181
66,5.11897
67,4.36749
68,3.71762
69,4.5293
70,4.41451
71,4.56287
72,3.79887
73,4.86261
74,4.56076
75,3.62367
76,4.41657
77,4.87715
78,5.16566
79,4.26772
80,4.30247
81,4.58089
82,4.14327
83,3.39179
84,3.78818
85,4.59986
86,4.2164
87,4.36476
88,4.46411
89,5.52786
90,4.99159
91,4.0545
92,4.10407
93,4.56465
94,4.16506
95,3.26713
96,5.05082
97,5.32925
98,5.63641
99,4.88493
100,4.7999
101,5.61158
102,5.49679
103,5.64515
104,4.45332
105,5.51706
106,5.21522
107,4.27812
108,5.37583
109,5.83641
110,6.12492
111,5.22699
112,4.55183
113,4.83026
114,4.39264
115,3.64116
116,3.94977
117,4.76145
118,4.378
119,4.52635
120,3.76184
121,4.82559
122,4.28932
123,3.35223
124,4.36548
125,4.82606
126,4.42647
127,3.52853
128,5.62788
129,4.77981
130,6.21347
131,4.33549
132,4.81212
133,4.4973
134,5.50901
135,4.53087
136,5.1726
137,5.10985
138,5.93449
139,3.87091
140,5.7903
141,5.12438
142,6.53939
143,4.51496
144,4.89105
145,4.04298
146,4.73186
147,2.85388
148,4.37677
149,4.06195
150,4.80499
151,3.82685
152,5.71325
153,5.6505
154,6.24073
155,4.17714
156,5.35321
157,4.68729
158,5.4142
159,3.38977
160,4.53534
161,3.68727
162,5.12093
163,3.24295
164,4.28442
165,3.9696
166,4.98131
167,4.00317
168,4.90017
169,4.83742
170,5.66207
171,3.59848
172,5.82268
173,5.15676
174,6.57177
175,4.54734
176,5.14262
177,4.29455
178,4.98342
179,3.10544
180,4.54056
181,4.22574
182,4.96878
183,3.99064
184,4.80381
185,4.74106
186,5.33129
187,3.2677
188,5.40745
189,4.74153
190,5.46843
191,3.444
192,5.32723
193,4.47916
194,5.91282
195,4.03484
196,4.51147
197,4.19665
198,5.20836
199,4.23022
200,4.59271
201,4.52996
202,5.35461
203,3.29102
204,5.21041
205,4.5445
206,5.9595
207,3.93507
208,4.8798
209,4.03173
210,4.72061
211,2.84263
212,4.36552
213,4.0507
214,4.79374
215,3.8156
216,5.04145
217,4.9787
218,5.56893
219,3.50534
220,4.68141
221,4.01549
222,4.7424
223,2.71797
224,4.98316
225,4.13509
226,5.56875
227,3.69077
228,4.73224
229,4.41742
230,5.42913
231,4.45099
232,4.38565
233,4.3229
234,5.14755
235,3.08396
236,5.30817
237,4.64225
238,6.05726
239,4.03283
240,5.05889
241,4.21082
242,4.8997
243,3.02172
244,4.45684
245,4.14202
246,4.88506
247,3.90692
248,4.2689
249,4.20615
250,4.79638
251,2.73279
252,4.87254
253,4.20662
254,4.93353
255,2.9091
256,5.56102
257,5.63873
258,5.60936
259,5.22629
260,4.74526
261,5.35622
262,4.9049
263,5.42167
264,5.10573
265,5.96876
266,5.33038
267,4.7617
268,5.72343
269,5.98329
270,5.93527
271,5.40575
272,4.35742
273,4.43513
274,3.66097
275,3.27791
276,3.84313
277,4.45409
278,3.7341
279,4.25087
280,5.17961
281,6.04264
282,5.16984
283,4.60117
284,4.81957
285,5.07944
286,4.34331
287,3.81379
288,3.47342
289,3.55113
290,3.52176
291,3.13869
292,3.2225
293,3.83346
294,3.38214
295,3.89891
296,3.83825
297,4.70128
298,4.0629
299,3.49422
300,4.76076
301,5.02062
302,4.9726
303,4.44308
304,4.11601
305,4.19372
306,3.41957
307,3.0365
308,3.51396
309,4.12492
310,3.40493
311,3.9217
312,3.7772
313,4.64023
314,3.76744
315,3.19876
316,4.38085
317,4.64071
318,3.90458
319,3.37506
320,4.72741
321,4.80512
322,4.77575
323,4.39269
324,3.91165
325,4.52261
326,4.07129
327,4.58806
328,3.99289
329,4.85592
330,4.21754
331,3.64887
332,4.6106
333,4.87046
334,4.82244
335,4.29292
336,4.49649
337,4.5742
338,3.80005
339,3.41698
340,3.98221
341,4.59317
342,3.87318
343,4.38995
344,4.65814
345,5.52117
346,4.64837
347,4.07969
348,4.2981
349,4.55796
350,3.82184
351,3.29232
352,4.9706
353,5.04831
354,5.01894
355,4.63587
356,4.71968
357,5.33064
358,4.87932
359,5.39609
360,4.3731
361,5.23613
362,4.59774
363,4.02907
364,5.29561
365,5.55547
366,5.50745
367,4.97793
368,4.47161
369,4.54932
370,3.77517
371,3.3921
372,3.86955
373,4.48051
374,3.76052
375,4.27729
376,3.68162
377,4.54465
378,3.67185
379,3.10317
380,4.28526
381,4.54512
382,3.80899
383,3.27948
384,5.84675
385,6.31471
386,5.89509
387,5.90227
388,5.03098
389,6.0322
390,5.19062
391,6.09765
392,5.39146
393,6.64474
394,5.61611
395,5.43769
396,6.00916
397,6.65928
398,6.221
399,6.08174
400,5.10992
401,5.57788
402,4.41347
403,4.42066
404,4.59563
405,5.59685
406,4.4866
407,5.39363
408,5.93211
409,7.1854
410,5.92234
411,5.74392
412,5.57207
413,6.22219
414,5.09581
415,4.95655
416,5.23584
417,5.7038
418,5.28418
419,5.29137
420,4.98492
421,5.98613
422,5.14456
423,6.05158
424,5.60067
425,6.85395
426,5.82531
427,5.64689
428,6.52318
429,7.17329
430,6.73502
431,6.59576
432,5.84311
433,6.31108
434,5.14667
435,5.15386
436,5.24105
437,6.24227
438,5.13202
439,6.03905
440,5.5043
441,6.75759
442,5.49453
443,5.31611
444,6.10794
445,6.75806
446,5.63168
447,5.49242
448,5.19666
449,5.66462
450,5.245
451,5.25219
452,4.3809
453,5.38211
454,4.54054
455,5.44756
456,4.46214
457,5.71543
458,4.68679
459,4.50837
460,5.07984
461,5.72996
462,5.29168
463,5.15242
464,4.74923
465,5.2172
466,4.05279
467,4.05998
468,4.23495
469,5.23616
470,4.12592
471,5.03294
472,4.91088
473,6.16416
474,4.90111
475,4.72269
476,4.55084
477,5.20096
478,4.07458
479,3.93531
480,4.53652
481,5.00449
482,4.58486
483,4.59205
484,4.2856
485,5.28682
486,4.44524
487,5.35227
488,3.93901
489,5.1923
490,4.16366
491,3.98524
492,4.86153
493,5.51164
494,5.07337
495,4.9341
496,4.61226
497,5.08022
498,3.91581
499,3.923
500,4.0102
501,5.01141
502,3.90117
503,4.80819
504,3.82226
505,5.07555
506,3.81249
507,3.63407
508,4.4259
509,5.07602
510,3.94964
511,3.81038
512,5.20559
513,5.35071
514,5.51708
515,5.89006
516,4.90926
517,4.47405
518,4.61024
519,5.82264
520,4.7503
521,5.68075
522,5.2381
523,5.42547
524,5.88743
525,5.10112
526,5.64062
527,5.80673
528,4.00199
529,4.14711
530,3.56869
531,3.94167
532,4.00713
533,3.57192
534,3.43945
535,4.65185
536,4.82418
537,5.75463
538,5.07756
539,5.26494
540,4.98358
541,4.19727
542,4.04865
543,4.21477
544,4.15207
545,4.29719
546,4.46355
547,4.83653
548,4.42057
549,3.98536
