genotype,fitness
0,2.8949597000000002
1,2.2768577000000003
2,3.6371297000000005
3,3.0190277000000005
4,2.1769987
5,1.5588967
6,2.9191687
7,2.3010667000000002
8,3.7572757
9,3.1391737
10,4.4994457
11,3.8813437000000004
12,3.0393147000000003
13,2.4212127000000003
14,3.7814847
15,3.1633827
16,3.0129717
17,2.3948697
18,3.7551417000000007
19,3.1370397000000003
20,2.2950107
21,1.6769087
22,3.0371807
23,2.4190787000000005
24,3.8752877
25,3.2571857000000004
26,4.6174577
27,3.9993557
28,3.1573267
29,2.5392247000000006
30,3.8994967
31,3.2813947000000003
32,3.617922
33,2.99982
34,4.360092
35,3.7419900000000004
36,2.899961
37,2.281859
38,3.642131
39,3.024029
40,4.480238
41,3.862136
42,5.222408
43,4.604306
44,3.762277
45,3.144175
46,4.504447
47,3.886345
48,3.735934
49,3.117832
50,4.478104
51,3.860002
52,3.017973
53,2.399871
54,3.760143
55,3.1420410000000003
56,4.59825
57,3.9801480000000002
58,5.34042
59,4.722318
60,3.880289
61,3.2621870000000004
62,4.622458999999999
63,4.004357000000001
