genotype,fitness
0,1.210002
1,0.9499980000000001
2,0.9499980000000001
3,0.902502
4,0.9499980000000001
5,0.902502
6,0.902502
7,0.857376
8,0.9499980000000001
9,0.902502
10,0.902502
11,0.857376
12,0.902502
13,0.857376
14,0.857376
15,1.210002
16,0.9499980000000001
17,0.902502
18,0.902502
19,0.857376
20,0.902502
21,0.857376
22,0.857376
23,1.210002
24,0.902502
25,0.857376
26,0.857376
27,1.210002
28,0.857376
29,1.210002
30,1.210002
31,1.210002
32,0.9499980000000001
33,0.902502
34,0.902502
35,0.857376
36,0.902502
37,0.857376
38,0.857376
39,1.210002
40,0.902502
41,0.857376
42,0.857376
43,1.210002
44,0.857376
45,1.210002
46,1.210002
47,1.210002
48,0.902502
49,0.857376
50,0.857376
51,1.210002
52,0.857376
53,1.210002
54,1.210002
55,1.210002
56,0.857376
57,1.210002
58,1.210002
59,1.210002
60,1.210002
61,1.210002
62,1.210002
63,1.210002
