genotype,fitness
0,3.23488
1,2.93437
2,4.73801
3,3.7565
4,3.50694
5,3.91664
6,4.95973
7,4.6693
8,3.5474
9,3.24689
10,4.58333
11,3.60182
12,3.46433
13,3.87403
14,4.02926
15,3.73883
16,1.94896
17,1.64845
18,3.4521
19,2.47059
20,2.25679
21,2.6665
22,3.70958
23,3.41915
24,2.51128
25,2.21076
26,3.54721
27,2.5657
28,2.73661
29,3.14631
30,3.30153
31,3.0111
32,2.33834
33,2.17662
34,3.84147
35,2.99875
36,2.6104
37,3.1589
38,4.06319
39,3.91155
40,3.54938
41,3.38767
42,4.58532
43,3.7426
44,3.46631
45,4.01481
46,4.03124
47,3.87961
48,2.51319
49,2.35147
50,4.01632
51,3.1736
52,2.82102
53,3.36951
54,4.27381
55,4.12217
56,2.64447
57,2.48276
58,3.68041
59,2.83769
60,2.8698
61,3.4183
62,3.43473
63,3.2831
64,3.70113
65,2.66681
66,3.91909
67,3.46326
68,3.97319
69,3.64908
70,4.14081
71,4.37606
72,4.01364
73,2.97933
74,3.76441
75,3.30858
76,3.93058
77,3.60647
78,3.21033
79,3.44558
80,3.35744
81,2.32312
82,3.5754
83,3.11957
84,3.66527
85,3.34116
86,3.83288
87,4.06813
88,3.91975
89,2.88543
90,3.67051
91,3.21468
92,4.14508
93,3.82097
94,3.42483
95,3.66008
96,3.38935
97,2.729
98,3.60731
99,3.52545
100,3.66141
101,3.71127
102,3.82903
103,4.43825
104,4.60039
105,3.94005
106,4.35116
107,4.26929
108,4.51732
109,4.56719
110,3.79708
111,4.4063
112,3.21738
113,2.55703
114,3.43534
115,3.35348
116,3.52521
117,3.57507
118,3.69283
119,4.30205
120,3.34867
121,2.68832
122,3.09943
123,3.01757
124,3.574
125,3.62386
126,2.85375
127,3.46297
