genotype,fitness
0,2.9105646999999997
1,3.7000492
2,4.348986
3,4.241493
4,3.24955
5,3.961404
6,2.2830789
7,2.5106558
8,2.2856085
9,2.615975
10,4.100647
11,2.8997389
12,3.127058
13,4.85494
14,4.355364
15,2.4066321
16,2.7763907000000003
17,4.077661000000001
18,3.416452
19,3.306884
20,3.2193250000000004
21,3.7560890000000002
22,2.0576189
23,2.8392639
24,2.6612617000000003
25,2.3731624
26,3.350471
27,3.0888094
28,2.627798
29,3.624831
30,3.2354909999999997
31,3.8547619999999996
32,2.8647517999999996
33,3.5495870000000003
34,2.58660087
35,3.885749
36,2.9400779
37,3.7058555999999996
38,2.5570550000000005
39,3.570063
40,2.8596208
41,3.8776080000000004
42,2.8958999999999997
43,4.535155
44,3.0090342999999997
45,3.0065057
46,2.7980772
47,3.1026816
48,3.001407
49,3.168836
50,3.32311987
51,2.6919886
52,1.7121118
53,3.4813466
54,2.334248
55,3.4567287
56,4.472211
57,4.627823
58,2.596282
59,2.2681470000000004
60,2.0815236
61,3.6653189999999998
62,1.7433249000000002
63,3.546248
