genotype,fitness
0,3.2675739999999998
1,1.6810635
2,2.536027
3,2.5103855
4,3.1057819999999996
5,1.5192714999999999
6,2.4187260000000004
7,2.3930845
8,4.120245000000001
9,2.5337345
10,3.3886979999999998
11,3.3630565
12,4.331234
13,2.7447235
14,3.644178
15,3.6185365000000003
16,4.006417
17,2.4199065
18,3.27487
19,3.2492285
20,3.8446249999999997
21,2.2581145
22,3.1575689999999996
23,3.1319275
24,3.3088170000000003
25,1.7223064999999997
26,2.5772700000000004
27,2.5516285
28,3.519806
29,1.9332954999999998
30,2.83275
31,2.8071085000000005
32,3.455757
33,2.44999
34,2.72421
35,3.279312
36,3.293965
37,2.288198
38,2.606909
39,3.162011
40,4.308428
41,3.302661
42,3.576881
43,4.131983
44,4.519417
45,3.51365
46,3.8323609999999997
47,4.387463
48,3.3937334999999997
49,2.3879665
50,2.6621865
51,3.2172885
52,3.2319414999999996
53,2.2261745
54,2.5448855
55,3.0999875
56,2.6961335
57,1.6903664999999999
58,1.9645864999999998
59,2.5196885
60,2.9071225
61,1.9013555000000002
62,2.2200664999999997
63,2.7751685000000004
